hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,ownerUsername,shortCode,videoDuration,ownerFullName,url,videoUrl,displayUrl,id,type,caption
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,CqlAm_PNjsW,57.052,Dr Julie Smith | Psychologist,https://www.instagram.com/p/CqlAm_PNjsW/,https://scontent-nrt1-1.cdninstagram.com/v/t66.30100-16/10000000_241874941576376_6610493389950727449_n.mp4?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=IkQV-pDV50IAX-btr_Q&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfD5ERZgSpoWHT188JNXazKOrEmaBrA4aqD3w5llIVnftg&oe=643307EF&_nc_sid=83d603,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/339327484_1061458371482044_8357780794103876799_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=pnF022ajDxgAX-vdyEA&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfDtkFhQAruWgAtBfuCyuJzLsW89iXIFL_oeC0ZW43yB6w&oe=64331470&_nc_sid=83d603,3.07E+18,Video,"Tag your green balls!  Those people who get to be part of your inner circle. The ones you feel safe to be yourself with. The ones you can share your best and most vulnerable moments with. These people that we connect with deeply are essential to our health and longevity. Good quality relationships show up in the research as the most powerful predictor of a long, healthy and happy life. But they are not the only people we need in our lives. There are many people that play a meaningful role in our lives (as we do in theirs) without ever developing a deep and personal connection. I think recognising the value in the diverse relationships that we encounter is one way to appreciate that each offers us something to learn from and feel grateful for. The aim is not to be left with just the people in that inner circle, but to use boundaries effectively so that we can safely experience a variety of relationships. What are your thoughts on this? 

?? Feel free to share. More videos @drjulie 

 More on this in the UK’s best selling book published in 2022 - Why Has Nobody Told Me This Before? (Currently -50% see link in bio). Filled with insights from therapy about how to deal with real life problems. Available in over 40 languages"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,CgzQ7Y-syte,55.033,Dr Julie Smith | Psychologist,https://www.instagram.com/p/CgzQ7Y-syte/,https://instagram.furt1-1.fna.fbcdn.net/v/t50.2886-16/10000000_125402643546966_5638945857462542345_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.furt1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=bX0Ldz2JiYEAX9Ge3-j&edm=AABBvjUBAAAA&vs=627242345215931_940338703&_nc_vs=HBksFQAYJEdJQ1dtQUJXd3dXVURYSUFBQWtndDRWaGowRk9icV9FQUFBRhUAAsgBABUAGCRHSDJidWhFbHJNVzF6TzhDQUJocUR0OVpCM1VoYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmoNHun%2BaV4D8VAigCQzMsF0BLhDlYEGJOGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BBwA%3D&_nc_rid=7f2095cda3&ccb=7-5&oh=00_AfDPsu9hVi43PRfalHqqWMfI7sPqPmL-SAQIY6e8zREwuQ&oe=6432F0BA&_nc_sid=83d603,https://instagram.furt1-1.fna.fbcdn.net/v/t51.2885-15/297028031_744394983458661_5357843091715782873_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.furt1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=l3wtNbE2YD8AX_oLLBs&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfAQh8dv13awMSphILw9JxpbLQoHWiythPntDYOs-RvVOA&oe=6432CFCE&_nc_sid=83d603,2.9E+18,Video,"When we feel painful emotion the most natural human response is to pull away, escape them and avoid. We block them out with anything that feels safe and pleasurable. But when we do that, the painful emotions don’t always disappear forever. We find ourselves trapped in cycles of addictive behaviours that keep the emotion at bay for just a short time. 

The way we guide people to process painful emotion in therapy is to allow the emotion to be there, turn towards it and feel it, while soothing yourself through the process with skills that help you to tolerate the distress. This enables the emotion to take its natural course and wash over you. Emotions come in waves so we know they will increase in intensity, peak and then come back down again. 

Feel free to share ??
More videos @drjulie

More on this in my No.1 Sunday Times Bestselling book, Why Has Nobody Told Me This Before? (Currently -50% off @ £7.50 inc delivery see link in bio). Filled with insights from therapy about how to deal with real life problems. If don’t want to read it and would like me to read it to you, it’s free when you sign up to Audible link in my bio"
trauma,traumatherapy,mentalhealth,mentalhealthawareness,therapy,selfhelp,selfcare,traumarecovery,ptsd,mentalhealthmatters,recoveryjourney,therapysession,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,CbsPBEgAE92,59.966,Dr Julie Smith | Psychologist,https://www.instagram.com/p/CbsPBEgAE92/,https://scontent-gru2-2.cdninstagram.com/v/t50.2886-16/10000000_4749790425130002_7369349577490644395_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEwODAuY2xpcHMuaGlnaCIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=106&_nc_ohc=zydbYpXzKxsAX8L8nEr&edm=AABBvjUBAAAA&vs=351957033371982_753337277&_nc_vs=HBksFQAYJEdJQ1dtQUFTSkF6RDZOOFFBS3M5QVhCbE1FVm1icV9FQUFBRhUAAsgBABUAGCRHTkE1alJEWmxPcVBFTXNCQUhxbWE2VTlpaE1sYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm6MmZ856V4D8VAigCQzMsF0BN%2B6XjU%2FfPGBJkYXNoX2hpZ2hfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=4a9b9d46e6&ccb=7-5&oh=00_AfCgQBQUM3nmuEAAkt5uHF-oPm-sjjzNRgBCXjWazXKn5A&oe=64333912&_nc_sid=83d603,https://scontent-gru2-2.cdninstagram.com/v/t51.2885-15/277626267_2810426929253087_3619160415093300807_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=111&_nc_ohc=F5KwLVEHL6cAX9EKG7z&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfBL7Rmp7I1eNem2zdHXRhydbsWcJ8rq7rC0QCZdzj3-bQ&oe=64330824&_nc_sid=83d603,2.8E+18,Video,"Can you relate? More videos coming soon. Do you have memories that you try your best to push down, but they keep coming up for you when you don’t want them to. When those memories are from traumatic events, that can cause an overwhelming level of distress that is hard to bring back down. This video is a quick summary of a metaphor that I have often used to help describe how working through painful memories in trauma therapy can help.

More on this in my No.1 Sunday Times Bestselling book, Why Has Nobody Told Me This Before? (Currently -50% offer for £7.50 inc delivery see link in bio) If you can’t be bothered to read it and would like me to read it to you, it’s free when you sign up to Audible  (link in bio)

Feel free to share ?? @drjulie

#trauma #traumatherapy #mentalhealth #mentalhealthawareness #therapy #selfhelp #selfcare #traumarecovery #ptsd #mentalhealthmatters #recoveryjourney #therapysession"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,CqQiCPKpEJN,27.354,Dr Julie Smith | Psychologist,https://www.instagram.com/p/CqQiCPKpEJN/,https://instagram.fyyc2-1.fna.fbcdn.net/v/t66.30100-16/49917024_234167938982389_2701760973681111323_n.mp4?_nc_ht=instagram.fyyc2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=EV02VfLzRpIAX84jMMO&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfD1lEfyrCqjpyC5rA4xiqJWL04PyRbHKgb4H5DXuOKx7w&oe=6432F25D&_nc_sid=83d603,https://instagram.fyyc2-1.fna.fbcdn.net/v/t51.2885-15/337838883_907347237174647_8096275908091439812_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fyyc2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=KJxzdryeU2MAX9oGhq6&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfCDpNcyu_bhx-97NNJlF8ofZv3dN22LT03joS-jyOj-dw&oe=6432D671&_nc_sid=83d603,3.07E+18,Video,"Who else does this ? Does it happen more with certain people and less with others? Or maybe it happens more when the choice is one that enables you to hold your own needs as equal to others. 

That need we feel to justify ourselves and offer up detailed explanations can be seen as a safety behaviour. An action that helps to bring down the fear associated with holding a boundary. It works temporarily but, in the long term, leads to an increased need to do the same. We find ourselves trapped and unable to hold a boundary if we feel we can’t avoid the disapproval of others.

Maybe asserting yourself in the past led to rejection, abandonment or a complete override of your own needs. Maybe love was conditional. Or maybe it was considered your responsibility to ensure that others remained happy. However the cycle began, it can be broken. It takes time and practise. And it always starts with awareness. So start looking out for those times when you hold a boundary and immediately follow it up with over-explaining and justifying yourself to others.

 More on this in the best selling non fiction book of 2022 - Why Has Nobody Told Me This Before? (Currently -50% see link in bio). Available in 40 languages. Filled with insights from therapy about how to deal with real life problems. If don’t want to read it and would like me to read it to you, it’s free when you sign up to Audible link in my bio"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,Cp2qjWqO_CO,56.17,Dr Julie Smith | Psychologist,https://www.instagram.com/p/Cp2qjWqO_CO/,https://scontent-fco2-1.cdninstagram.com/v/t66.30100-16/10000000_131518449863870_4573064634888698832_n.mp4?_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=O3D-NEfwKRMAX8Mfj81&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfANBzvW5qTFJsWDsUFWfEOHhIosbi3lZK0PN8FvKhYUnw&oe=6433627B&_nc_sid=83d603,https://scontent-fco2-1.cdninstagram.com/v/t51.2885-15/336456129_165473286335900_2996269241743292517_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=78XLAUrPWFsAX9p16iQ&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfAgYz1a_8FxGQsjQnHVlaJA8tAFZQS-S2RqXaIBwf2pIA&oe=643333B3&_nc_sid=83d603,3.06E+18,Video,"Don’t wait to feel confident before starting. It won’t arrive spontaneously.TIPS FOR BUILDING CONFIDENCE BELOW: 
• Action builds confidence over time. 
• Rather than big, one-off actions, go for consistency over intensity. Repetition that you can sustain is crucial for building confidence.
• You don’t have to overwhelm yourself. Start small and manageable in the stretch zone where you make most progress with performance. 

The model in this video is adapted from Karl Rohnke’s Comfort, Stretch and Panic model, which was developed based on the Yerkes-Dodson law. This law posits that peak performance happens when people experience a moderate amount of pressure.

 More on this in the best selling non fiction book of 2022 - Why Has Nobody Told Me This Before? (Currently -50% see link in bio). Available in 40 languages. Filled with insights from therapy about how to deal with real life problems. If don’t want to read it and would like me to read it to you, it’s free when you sign up to Audible link in my bio"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,CpNde2ZuqvE,57.122,Dr Julie Smith | Psychologist,https://www.instagram.com/p/CpNde2ZuqvE/,https://scontent-hou1-1.cdninstagram.com/v/t66.30100-16/10000000_3359148854303357_8056620644800018976_n.mp4?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=RxvtMUgiAi4AX-_LnMo&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfB4LJ-rNEDLE87l-qmj9esRr_sgORrhwJNmlPYqwq3rcA&oe=64336116&_nc_sid=83d603,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/334326289_719425843111843_9093685197644836718_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=kiTNOjzPk3QAX8ah7o8&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfCvDJ90uzP_E85D_sSVAACkEPoOWn4XLaA4kKRLdlDYpA&oe=6432FF50&_nc_sid=83d603,3.05E+18,Video,"You might need to hear this today!
 Hands up on the comments who else tends to set a massive goal and then go all for a a week or two before fizzling out? If you do you’re not alone. I think we do this when we favour intensity over consistency. But if we can commit to a change that is small enough to persist at over time then the gains far exceed that short but intense burst. 

So when you want to make a change, focus less on what the results might be and when they will arrive. Instead focus on creating a process that feels easy enough to do consistently. Once it becomes a part of your everyday routine your brain is great at starting to automate some of that for you so that you don’t have to rely on motivation as much as when you started.

 The example of the plane in this video was inspired by James Clear who is another great translator of the research on habit change. Others include Charles Duhigg and BJ Fogg.

 More on this in the best selling non fiction book of 2022 - Why Has Nobody Told Me This Before? (Currently -50% see link in bio). Available in 40 languages. Filled with insights from therapy about how to deal with real life problems. If don’t want to read it and would like me to read it to you, it’s free when you sign up to Audible link in my bio"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,Co7mxJNOMTQ,38.569,Dr Julie Smith | Psychologist,https://www.instagram.com/p/Co7mxJNOMTQ/,https://scontent-dus1-1.cdninstagram.com/v/t66.30100-16/10000000_713863750238082_4519143930064063936_n.mp4?_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=zUUXaxbWwHUAX8Rdstz&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfBn1K84jVIJdbpJk_yQl511pEvtXuRleW96DAIJWMULvg&oe=643353B1&_nc_sid=83d603,https://scontent-dus1-1.cdninstagram.com/v/t51.2885-15/331939744_3115282405438563_7533538364286359131_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=gbrY_YYQSrMAX_dFW61&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfDc8m80X9xIXm943Bgzk7oW7IYLRcPdj3omhcnUVhcodA&oe=6432E5C1&_nc_sid=83d603,3.04E+18,Video,"The last one is the most important! What else would you add to these? Share with me in the comments what you wish everybody understood about depression.

Nobody can know these things until they know, so these conversations about mental health are helping to squash some of the old misconceptions that were once widely held. Those misconceptions can hold people back in their own recovery. They can also hold people back from being able to support in the most effective way. 

Here are some more tips for how to support someone with their mental health:

* It’s ok if you don’t know how to talk about the painful stuff. You don’t have to be a therapist to be a great support. For example, distraction from your own distress by chatting with a friend can be just as helpful.
* If you are not sure what is the right thing to say, tell them. Let them know that you care about them and want to help, but have no idea how. Ask them what support would be most helpful to them right now.
* Try to help in ways that promote recovery rather than hinder it. For example, if your loved one is managing to cook for themselves, join them but don’t take over the activity. Taking a break from something can make it harder to go back to it. Instead, help like offering childcare while they go to therapy or a doctor makes working on recovery easier.

More on this in my No.1 Bestselling book, Why Has Nobody Told Me This Before? (Currently -50% off @ £8 inc delivery see link in bio) Available worldwide. Filled with insights from therapy about how to deal with real life problems. If don’t want to read it and would like me to read it to you, it’s free when you sign up to Audible link in my bio"
mentalhealth,ChildrensMentalHealthWeek,childrensmentalhealth,mentalhealthtips,wellbeing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bbccin,CoU3GopjB1v,35.156,BBC Children in Need,https://www.instagram.com/p/CoU3GopjB1v/,https://scontent-dus1-1.cdninstagram.com/v/t66.30100-16/10000000_875299990188587_4365996594495415726_n.mp4?_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=rrVlDvYnbZ0AX-xnizD&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfBueO7vk2rOqOC1SfiaWxeE-tbXhxl3c31409Lt-DqUWA&oe=6432E7CF&_nc_sid=83d603,https://scontent-dus1-1.cdninstagram.com/v/t51.2885-15/329336753_748013783186857_6523703346169137896_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=5qlY268eSFQAX8_jaE3&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfCG08GXx4ihUBi2r2Oym3NWo0ZhdS5b325JQ_9Kb-jyfQ&oe=64332165&_nc_sid=83d603,3.03E+18,Video,"What do you do look after your mental health?

Here are @drjulie's top tips for young people 

#mentalhealth #ChildrensMentalHealthWeek #childrensmentalhealth #mentalhealthtips #wellbeing"
ChildrensMentalHealthWeek,mentalhealth,mentalhealthawareness,mentalhealthtips,wellbeing,support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bbccin,CoeyrkGjmyW,48.507,BBC Children in Need,https://www.instagram.com/p/CoeyrkGjmyW/,https://instagram.fhan18-1.fna.fbcdn.net/v/t66.30100-16/10000000_927837151581063_752284777448492263_n.mp4?_nc_ht=instagram.fhan18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=SIxsZ_K9kt8AX8fBA-Q&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfAe4DNegFe2maodjICA-vKdyJulvQnNIv_-PMJMLPNShQ&oe=64333D34&_nc_sid=83d603,https://instagram.fhan18-1.fna.fbcdn.net/v/t51.2885-15/329798100_164822999241430_3298832373207515411_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fhan18-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=CMXjZo1hYA0AX81frGm&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfA9A4dYX_owGKQs-hAB0eUKOid3zY-fcYtQVcv0__rnqQ&oe=6432E3E5&_nc_sid=83d603,3.04E+18,Video,It can be difficult to know what to say to a child or young person that is struggling mentally. Clinical psychologist @drjulie shares some tips on how to talk to young people that are going through a tough time  @_place2be #ChildrensMentalHealthWeek #mentalhealth #mentalhealthawareness #mentalhealthtips #wellbeing #support
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drjulie,Cpktgn0r-CO,13.375,Dr Julie Smith | Psychologist,https://www.instagram.com/p/Cpktgn0r-CO/,https://instagram.fada2-1.fna.fbcdn.net/v/t66.30100-16/321128915_222547076854463_4199022693492526395_n.mp4?_nc_ht=instagram.fada2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=u6OPGIiuqeoAX-IbFvv&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfDOQ8nY3ug2NZadKB6wRMYlVQnXJi6KlJBRW12fOGGqzw&oe=6433335B&_nc_sid=83d603,https://instagram.fada2-4.fna.fbcdn.net/v/t51.2885-15/332076955_2278887035646485_3074179255853187852_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fada2-4.fna.fbcdn.net&_nc_cat=105&_nc_ohc=6SJyDvVjjCYAX-Jldnh&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AfAw5VbyscZuzVaBkzcFWGWV4eD6mYgWSrochCX-HAPtjw&oe=6432F92F&_nc_sid=83d603,3.05E+18,Video,"Wait for it  So many of us numb our emotion because the natural instinct is to push away anything painful or uncomfortable. You imagine that if you allow any of your emotions to surface, that they’ll all rise up and you’ll lose control of them, maybe even struggle to calm them again. This is a common fear that prevents many people from talking about how they feel or accessing therapy. But there is a misconception about how you work through trauma in therapy. A therapist will never ask you to bring up old wounds until they trust that you can manage those painful emotions safely. And one of the reasons that therapy takes time is that it’s not done all at once. Things are done at your own pace in a safe space and only when you both decide that you are ready.

 More on this in the best selling non fiction book of 2022 - Why Has Nobody Told Me This Before? (Currently -50% see link in bio). Available in 40 languages. Filled with insights from therapy about how to deal with real life problems. If don’t want to read it and would like me to read it to you, it’s free when you sign up to Audible link in my bio"
